projection,model,n_words,peak_median,peak_mean,peak_ci_lo,peak_ci_hi,peak_share_up,mean_median,mean_mean,mean_share_up,peak_p10,peak_p90
q_proj,llama-2-7b,849,0.9996870727631786,0.9992703580899693,0.9909518484091993,1.0075175955935298,0.4793875147232038,1.001839890916895,0.9921122944849807,0.5147232037691402,0.8806621254423941,1.11137657100724
q_proj,llama-3-8b,851,1.013447906682295,1.0131265912872354,1.0054152221895463,1.0207663156869666,0.5663924794359577,1.020390223244344,1.0001169125090754,0.645123384253819,0.8964623452138074,1.1329827637791166
q_proj,llama-3.1-8b,847,1.0085303086084239,1.0056794621234626,0.9979370498097961,1.0132728651190817,0.5336481700118064,1.0149716298904783,1.0041343491353467,0.602125147579693,0.8846952609338332,1.1273203914787242
q_proj,llama-7b,844,0.9944653051355534,0.9898847799655696,0.9832995298159104,0.9963571348651162,0.4419431279620853,0.9979086569189071,0.9966805673161743,0.47511848341232227,0.9037991615975054,1.07369155051284
q_proj,qwen-7b,812,1.0167452729009683,1.0329432067851931,1.0224895106159522,1.0435830888477784,0.5948275862068966,1.0130164815528584,0.8984821205789616,0.624384236453202,0.9080116326736397,1.1623192464295273
q_proj,qwen1.5-7b,847,1.0173890359136801,1.020063547395405,1.0099908205136214,1.030231044353121,0.5832349468713105,1.0065773674121723,1.0078023159855556,0.5737898465171193,0.8830810647904979,1.1466948205202583
q_proj,qwen2-7b,843,1.0240442043933722,1.028239034807097,1.02119984394365,1.0353091310551423,0.6595492289442467,1.034779042809255,1.0379404123546327,0.830367734282325,0.942058361255149,1.1225801679799832
q_proj,qwen2.5-7b,826,1.0356514580444118,1.0363498713793524,1.0282423279773785,1.044513920059046,0.7215496368038741,1.0351248236490043,1.0336091018086984,0.8305084745762712,0.9479492020230271,1.123600946239667
q_proj,qwen3-8b,786,1.026203715141105,1.0260275099109397,1.019823397126642,1.0321070820759966,0.6603053435114504,1.020765535419657,1.0333869513444947,0.6946564885496184,0.9444174647277193,1.1122365903657596
v_proj,llama-2-7b,849,0.15516820983578453,0.8698184600146858,0.7462609658901529,1.0051319048074097,0.20141342756183744,-0.07431209944125167,1.2845319757257248,0.2143698468786808,0.0,2.5882812369177346
v_proj,llama-3-8b,851,0.4859951539538462,0.5702012138833804,0.5390407770955616,0.6064554943591044,0.07403055229142186,0.45487563970227113,0.5412901300618012,0.07520564042303172,0.22606942996528442,0.9502462640361179
v_proj,llama-3.1-8b,847,0.5172404587586238,0.5724521579711845,0.5510646556537863,0.5943052915413163,0.07319952774498228,0.476212157714776,0.6198303914205268,0.06965761511216056,0.2695948529858365,0.9422613337041424
v_proj,llama-7b,844,0.8123039602108719,0.9078505928865527,0.8635492601403228,0.9587998292143552,0.254739336492891,0.7896775735204526,1.040413794151063,0.19549763033175355,0.4547663439461127,1.3592265226605864
v_proj,qwen-7b,812,1.0121223473462033,1.071275413655155,1.0479684360133905,1.095215911805897,0.5369458128078818,0.9921354144183999,0.9985302281703416,0.47167487684729065,0.766996958145692,1.38970813337638
v_proj,qwen1.5-7b,847,0.9589527415277375,1.0102805785806241,0.9870871746895435,1.03549791219372,0.38488783943329397,0.9309563019303467,0.9258495034832313,0.24675324675324675,0.7076079219327845,1.3058368876988014
v_proj,qwen2-7b,843,0.5779500680519577,0.6264855196586885,0.6021116778393232,0.652557525705526,0.09727164887307237,0.549001904771273,0.5078721156500701,0.07829181494661921,0.2567691393111495,1.0
v_proj,qwen2.5-7b,826,0.6613842419882698,0.6942122710691626,0.6709498785296778,0.7180072178433606,0.11380145278450363,0.5850957285768561,0.5504288169625724,0.08716707021791767,0.35189996758502595,1.0293190911646573
v_proj,qwen3-8b,786,1.0255869134600086,1.075985090762989,1.0572693745896762,1.0948311692450907,0.5585241730279898,1.079219147004874,1.1106027675447319,0.6857506361323156,0.8197269544469967,1.3912692512936289
