group,control,n_models,mean,n_positive,t_p,wilcoxon_p,boot_lo,boot_hi
decoders,linear,9,0.3232877214187129,9,1.588688812567693e-06,0.00390625,0.2786463152680987,0.37457080219311767
decoders,quadratic,9,0.17942953105941117,8,0.0031392783676941257,0.01171875,0.09787135265421172,0.2557376285794449
llama,linear,4,0.3522234334271676,4,0.005773885945540345,0.125,0.2766359767983826,0.435833569628651
llama,quadratic,4,0.2671134563604007,4,0.005225193007924612,0.125,0.21835576316660732,0.3348361123161262
qwen,linear,5,0.30013915181194917,5,0.00028278193572089797,0.0625,0.25608356927541803,0.34255175593624126
qwen,quadratic,5,0.10928239081861964,4,0.12185608227329722,0.1875,0.015548954295680659,0.20920942057312608
encoders,linear,4,0.0880509436542806,3,0.3027570108669747,0.375,-0.030005033552748306,0.2061069208613095
encoders,quadratic,4,-0.058050006601379725,1,0.25794806147585775,0.25,-0.13429706931133634,0.010740973306078138
