model,family,n_words,stable_rank_retained,peak_retention,mean_retention,min_peak_retention,max_peak_retention,words_peak_up,words_mean_up,peak_shifts
llama-7b,llama,3,0.800333361651408,0.953493643431332,0.9552206373155682,0.9210808597303102,1.0174681205436646,1,0,1
llama-2-7b,llama,3,0.8003886122526773,0.9683590943851629,0.9423407455218363,0.9160788887534488,1.0380437270189034,1,0,1
llama-3-8b,llama,3,0.8003851078134847,1.0708215558637981,1.0454946529125337,0.9808582751610678,1.1678630784237831,2,2,1
llama-3.1-8b,llama,3,0.8003870850399445,1.112422026493672,1.094208191679421,1.0592366938038016,1.1569769500077323,3,3,1
qwen-7b,qwen,3,0.8003565027987257,0.9605336280331737,0.9577888744084523,0.8812930090955977,1.0011065121539846,1,2,0
qwen1.5-7b,qwen,3,0.8004600057331467,0.9572184301885048,0.9536957978576147,0.9413364775249142,0.9747098124981624,0,0,0
qwen2-7b,qwen,3,0.8003343165824112,1.0638780320566703,1.099409101864209,1.0216277307486197,1.0938385997270745,3,3,2
qwen2.5-7b,qwen,3,0.800282384815452,1.0780880083273219,1.0925066043900866,1.0552878650111488,1.123110900808203,3,3,0
qwen3-8b,qwen,3,0.8004116485839479,1.0628290357663353,1.0641427261721839,1.0465933757594417,1.075847855138904,3,3,0
