group,control,post_mean,post_positive,post_t_p,post_wilcoxon_p,pre_mean,pre_positive,pre_t_p,pre_wilcoxon_p
decoders,linear,0.500595601020424,9/9,1.8293695065047204e-05,0.00390625,0.4637878313448841,9/9,0.0001333747997625,0.00390625
decoders,quadratic,0.1369740895154915,7/9,0.038436382800296,0.0546875,0.0697171600848226,6/9,0.376089127787914,0.30078125
llama,linear,0.5705319017457569,4/4,0.0018420374201524,0.125,0.5637008314958378,4/4,0.0024028505647319,0.125
llama,quadratic,0.2963414585041292,4/4,0.004131714584384,0.125,0.2780273674597714,4/4,0.0006131625926499,0.125
qwen,linear,0.4446465604401576,5/5,0.0069283043510471,0.0625,0.3838574312241209,5/5,0.0213409499728043,0.0625
qwen,quadratic,0.0094801943245814,3/5,0.7849927770069565,0.8125,-0.0969310058151365,2/5,0.2046676433657821,0.3125
encoders,linear,0.1159719503061342,3/4,0.2509245435352073,0.25,0.0990883325989583,3/4,0.3752632732365718,0.375
encoders,quadratic,-0.0440745511998807,2/4,0.6647241968796818,0.625,-0.0428165329920164,2/4,0.8456537066357879,0.875
