model,family,word,projection,condition,ratio,stable_rank_retained,fro_change,sep_max_base,sep_max_after,peak_retention,sep_mean_base,sep_mean_after,mean_retention,peak_layer_base,peak_layer_after,peak_shifted,peak_layer_shift
llama-7b,llama,bat,q_proj,truncate,0.8,0.800333361651408,0.1048821026319207,0.0546463131904602,0.055600881576538,1.0174681205436646,0.0361934825778007,0.0347817614674568,0.9609951568681101,24,24,False,0
llama-7b,llama,club,q_proj,truncate,0.8,0.800333361651408,0.1048821026319207,0.0928869247436523,0.0856354236602783,0.921931950020021,0.0607597529888153,0.0570992082357406,0.939753791399571,22,23,True,1
llama-7b,llama,pupil,q_proj,truncate,0.8,0.800333361651408,0.1048821026319207,0.0657908916473388,0.0605987310409545,0.9210808597303102,0.0425832718610763,0.0410891510546207,0.9649129636790236,18,18,False,0
llama-2-7b,llama,bat,q_proj,truncate,0.8,0.8003886122526773,0.1049170081173469,0.0550177097320556,0.0523193478584289,0.9509546673831367,0.0341247208416461,0.0307925548404455,0.902353311059647,26,26,False,0
llama-2-7b,llama,club,q_proj,truncate,0.8,0.8003886122526773,0.1049170081173469,0.0781333446502685,0.0811058282852172,1.0380437270189034,0.0500010550022125,0.0478592328727245,0.9571644612420033,32,32,False,0
llama-2-7b,llama,pupil,q_proj,truncate,0.8,0.8003886122526773,0.1049170081173469,0.0860605239868164,0.0788382291793823,0.9160788887534488,0.0517454296350479,0.0500639341771602,0.9675044642638584,12,13,True,1
llama-3-8b,llama,bat,q_proj,truncate,0.8,0.8003851078134847,0.104937739600705,0.0764225721359252,0.0812940001487732,1.0637433140065435,0.0515148863196373,0.0528426431119442,1.0257742351224166,23,23,False,0
llama-3-8b,llama,club,q_proj,truncate,0.8,0.8003851078134847,0.104937739600705,0.1032649278640747,0.1012882590293884,0.9808582751610678,0.0649633556604385,0.0616466477513313,0.948944941723092,23,23,False,0
llama-3-8b,llama,pupil,q_proj,truncate,0.8,0.8003851078134847,0.104937739600705,0.1361401081085205,0.1589930057525634,1.1678630784237831,0.0965799018740654,0.1122031286358833,1.1617647818920926,11,23,True,12
llama-3.1-8b,llama,bat,q_proj,truncate,0.8,0.8003870850399445,0.1049193487519295,0.0639799833297729,0.0740233659744262,1.1569769500077323,0.043410524725914,0.046696487814188,1.075695078763064,23,23,False,0
llama-3.1-8b,llama,club,q_proj,truncate,0.8,0.8003870850399445,0.1049193487519295,0.0892992615699768,0.0945890545845031,1.0592366938038016,0.0556442141532897,0.0564729869365692,1.014894141212892,23,23,False,0
llama-3.1-8b,llama,pupil,q_proj,truncate,0.8,0.8003870850399445,0.1049193487519295,0.1377112865447998,0.1543815732002258,1.1210524356694822,0.0925602614879608,0.1103351041674614,1.1920353550623077,11,23,True,12
qwen-7b,qwen,bat,q_proj,truncate,0.8,0.8003565027987258,0.1049147668926684,0.0403764247894287,0.0403441786766052,0.9992013628499385,0.0233441404998302,0.0233852248638868,1.0017599433166922,26,26,False,0
qwen-7b,qwen,club,q_proj,truncate,0.8,0.8003565027987258,0.1049147668926684,0.0473791360855102,0.0417549014091491,0.8812930090955977,0.0296425763517618,0.0256038587540388,0.8637528145395851,26,26,False,0
qwen-7b,qwen,pupil,q_proj,truncate,0.8,0.8003565027987258,0.1049147668926684,0.0776764154434204,0.0777623653411865,1.0011065121539846,0.0488840080797672,0.0492679364979267,1.0078538653690798,26,26,False,0
qwen1.5-7b,qwen,bat,q_proj,truncate,0.8,0.8004600057331467,0.1049078206089598,0.0456014275550842,0.0435771346092224,0.9556090005424378,0.0283812116831541,0.0270542073994874,0.9532435648455998,26,26,False,0
qwen1.5-7b,qwen,club,q_proj,truncate,0.8,0.8004600057331467,0.1049078206089598,0.0729467868804931,0.068667471408844,0.9413364775249142,0.0455102063715457,0.0432005226612091,0.9492491048825328,32,32,False,0
qwen1.5-7b,qwen,pupil,q_proj,truncate,0.8,0.8004600057331467,0.1049078206089598,0.0932620763778686,0.0909034609794616,0.9747098124981624,0.0614087134599685,0.0588660687208175,0.9585947238447112,17,17,False,0
qwen2-7b,qwen,bat,q_proj,truncate,0.8,0.8003343165824112,0.1049392301696369,0.057393193244934,0.062778890132904,1.0938385997270745,0.0327594839036464,0.0364820472896099,1.1136331511483046,24,13,True,-11
qwen2-7b,qwen,club,q_proj,truncate,0.8,0.8003343165824112,0.1049392301696369,0.0827469825744628,0.084536612033844,1.0216277307486197,0.0409735105931758,0.0449195727705955,1.096307641700512,28,23,True,-5
qwen2-7b,qwen,pupil,q_proj,truncate,0.8,0.8003343165824112,0.1049392301696369,0.1093809008598327,0.1177121996879577,1.0761677656943165,0.0708292201161384,0.077082484960556,1.0882865127438104,13,13,False,0
qwen2.5-7b,qwen,bat,q_proj,truncate,0.8,0.8002823848154519,0.1049525794574399,0.053409457206726,0.0599847435951232,1.123110900808203,0.0305999461561441,0.0345103628933429,1.1277916215030215,13,13,False,0
qwen2.5-7b,qwen,club,q_proj,truncate,0.8,0.8002823848154519,0.1049525794574399,0.0622094273567199,0.0656488537788391,1.0552878650111488,0.0324832685291767,0.0343691706657409,1.058057646965861,23,23,False,0
qwen2.5-7b,qwen,pupil,q_proj,truncate,0.8,0.8002823848154519,0.1049525794574399,0.1060331463813781,0.1119567155838012,1.055865259162614,0.0661382004618644,0.0722011253237724,1.0916705447013775,15,15,False,0
qwen3-8b,qwen,bat,q_proj,truncate,0.8,0.8004116485839479,0.1049265914709045,0.0538783073425293,0.0579648613929748,1.075847855138904,0.0319369211792945,0.0335822887718677,1.0515192927751573,18,18,False,0
qwen3-8b,qwen,club,q_proj,truncate,0.8,0.8004116485839479,0.1049265914709045,0.0480070710182189,0.0511777400970459,1.0660458764006602,0.0301206950098276,0.0316562540829181,1.050980200576032,18,18,False,0
qwen3-8b,qwen,pupil,q_proj,truncate,0.8,0.8004116485839479,0.1049265914709045,0.1070631146430969,0.1120515465736389,1.0465933757594417,0.0608725808560848,0.0663467720150947,1.089928685165362,18,18,False,0
