architecture,control,cells,share_p05_naive,share_p05_effective_n,mean_n_layers,mean_n_eff,mean_lag1_geometry,mean_lag1_sep
decoder,linear,63,0.746031746031746,0.12698412698412698,31.555555555555557,8.811729734883093,0.647245399243299,0.8949798429214796
decoder,quadratic,63,0.2698412698412698,0.031746031746031744,31.555555555555557,15.133762475593096,0.4925509624560511,0.7423866048627037
encoder,linear,28,0.0,0.0,12.0,10.840889587820298,0.022143250585397723,0.40819122417861686
encoder,quadratic,28,0.03571428571428571,0.0,12.0,11.507744139605714,-0.10110255605677416,0.10360391132150873
