model,projection,condition,ratio,stable_rank_retained,probe_peak_base,probe_peak_after,probe_peak_retention,probe_mean_retention,peak_layer_base,peak_layer_after
llama-2-7b,q_proj,truncate,0.8,0.8003886122526773,0.8239740566037735,0.8120715408805033,0.9855547445603693,0.9773486680404561,18,16
llama-2-7b,v_proj,truncate,0.8,0.8003264383625839,0.8239740566037735,0.6942688679245284,0.8425858342993718,0.831392817698969,18,5
llama-3-8b,q_proj,truncate,0.8,0.8003851078134847,0.8521305031446541,0.8572051886792453,1.005955291490991,0.992255840112772,13,13
llama-3-8b,v_proj,truncate,0.8,0.800517171995054,0.8521305031446541,0.7118042452830189,0.8353230434261147,0.8627788232219036,13,20
qwen2.5-7b,q_proj,truncate,0.8,0.8002823848154519,0.8509119496855346,0.837747641509434,0.9845291769836284,0.9954486225529969,19,21
qwen2.5-7b,v_proj,truncate,0.8,0.8007460809656536,0.8509119496855346,0.7300078616352201,0.8579123397021323,0.8911854845923632,19,9
