group,control,n_models,mean,median,n_positive,n_negative,min,max,loo_min,loo_max,loo_min_dropped,loo_max_dropped,t_p,wilcoxon_p
decoders,linear,9,0.6344756711013126,0.7033992237339595,9,0,0.3016794900501468,0.8450399037424946,0.6081551420211648,0.6760751937327083,llama-2-7b,qwen3-8b,7.781148204213391e-06,0.00390625
decoders,quadratic,9,0.32047896373715645,0.3975007036267606,7,2,-0.1939441901749059,0.7655218523698974,0.2648486026580638,0.38478185797616427,llama-7b,qwen2.5-7b,0.029028090185229276,0.07421875
llama,linear,4,0.7800300218171793,0.7800481457571964,4,0,0.7149838920118297,0.8450399037424946,0.7583600611754076,0.8017120650856292,llama-2-7b,llama-3-8b,9.836233566880854e-05,0.125
llama,quadratic,4,0.6004019769473886,0.6192926758964482,4,0,0.3975007036267606,0.7655218523698974,0.545362018473219,0.6680357347209313,llama-7b,llama-3-8b,0.006213907235381141,0.125
qwen,linear,5,0.5180321905286192,0.571518738055042,5,0,0.3016794900501468,0.7033992237339595,0.471690432227284,0.5721203656482372,qwen-7b,qwen3-8b,0.002657334499221755,0.0625
qwen,quadratic,5,0.09654055316897071,0.14327635860187632,3,2,-0.1939441901749059,0.5732563658303792,-0.022638399996381404,0.16916173900493986,qwen-7b,qwen2.5-7b,0.5294975983122181,1.0
encoders,linear,4,0.13262970235575,0.08302511779519703,2,2,-0.3350263014230441,0.69949487525565,-0.056325355277550025,0.28851503694868136,bert-base,xlm-roberta-base,0.5994260573150206,0.875
encoders,quadratic,4,0.06801557779259601,-0.020137596995927626,2,2,-0.3408056199396296,0.6531431251018689,-0.1270269379771616,0.20428931037000453,bert-base,roberta-base,0.7958819404940447,1.0
